trip_id,Unnamed: 0,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
1961070,852,183333607,71B,OUTBOUND-HIGHLAND PARK,22:33:00,3,FIFTH AVE + WOOD ST,20856,23:09:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 22:33,1/1/2023 23:09,0 days 00:36:00,36.0,0.6
7647070,853,183333607,71B,INBOUND-DOWNTOWN,23:31:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,24:03:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 23:31,1/2/2023 0:03,0 days 00:32:00,32.0,0.533333333
10398070,854,183333607,71B,OUTBOUND-HIGHLAND PARK,24:03:00,3,FIFTH AVE + WOOD ST,20856,24:33:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/2/2023 0:03,1/2/2023 0:33,0 days 00:30:00,30.0,0.5
1752010,1242,183342901,71B,INBOUND-DOWNTOWN,5:13:00,2,ST CLAIR ST + BUNKER HILL APTS,3118,5:45:00,60,6.827786546,2,FIFTH AVE + WOOD ST,20856,1/1/2023 5:13,1/1/2023 5:45,0 days 00:32:00,32.0,0.533333333
12498010,1243,183342901,71B,OUTBOUND-HIGHLAND PARK,5:45:00,2,FIFTH AVE + WOOD ST,20856,6:17:00,59,6.455453789,2,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 5:45,1/1/2023 6:17,0 days 00:32:00,32.0,0.533333333
1938010,1244,183342901,71B,INBOUND-DOWNTOWN,6:43:00,2,ST CLAIR ST + BUNKER HILL APTS,3118,7:15:00,60,6.827786546,2,FIFTH AVE + WOOD ST,20856,1/1/2023 6:43,1/1/2023 7:15,0 days 00:32:00,32.0,0.533333333
3325010,1245,183342901,71B,OUTBOUND-HIGHLAND PARK,7:15:00,2,FIFTH AVE + WOOD ST,20856,7:47:00,59,6.455453789,2,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 7:15,1/1/2023 7:47,0 days 00:32:00,32.0,0.533333333
1562010,1246,183342901,71B,INBOUND-DOWNTOWN,8:13:00,2,ST CLAIR ST + BUNKER HILL APTS,3118,8:45:00,60,6.827786546,2,FIFTH AVE + WOOD ST,20856,1/1/2023 8:13,1/1/2023 8:45,0 days 00:32:00,32.0,0.533333333
7851010,1247,183342901,71B,OUTBOUND-HIGHLAND PARK,8:45:00,2,FIFTH AVE + WOOD ST,20856,9:17:00,59,6.455453789,2,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 8:45,1/1/2023 9:17,0 days 00:32:00,32.0,0.533333333
4808010,1300,183343601,71B,INBOUND-DOWNTOWN,5:58:00,2,ST CLAIR ST + BUNKER HILL APTS,3118,6:30:00,60,6.827786546,2,FIFTH AVE + WOOD ST,20856,1/1/2023 5:58,1/1/2023 6:30,0 days 00:32:00,32.0,0.533333333
7265010,1301,183343601,71B,OUTBOUND-HIGHLAND PARK,6:30:00,2,FIFTH AVE + WOOD ST,20856,7:02:00,59,6.455453789,2,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 6:30,1/1/2023 7:02,0 days 00:32:00,32.0,0.533333333
3688010,1302,183343601,71B,INBOUND-DOWNTOWN,7:28:00,2,ST CLAIR ST + BUNKER HILL APTS,3118,8:00:00,60,6.827786546,2,FIFTH AVE + WOOD ST,20856,1/1/2023 7:28,1/1/2023 8:00,0 days 00:32:00,32.0,0.533333333
7233010,1303,183343601,71B,OUTBOUND-HIGHLAND PARK,8:00:00,2,FIFTH AVE + WOOD ST,20856,8:32:00,59,6.455453789,2,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 8:00,1/1/2023 8:32,0 days 00:32:00,32.0,0.533333333
13725010,1390,183344701,71B,INBOUND-DOWNTOWN,12:22:00,2,ST CLAIR ST + BUNKER HILL APTS,3118,13:02:00,60,6.827786546,2,FIFTH AVE + WOOD ST,20856,1/1/2023 12:22,1/1/2023 13:02,0 days 00:40:00,40.0,0.666666667
585010,1391,183344701,71B,OUTBOUND-HIGHLAND PARK,13:02:00,2,FIFTH AVE + WOOD ST,20856,13:40:00,59,6.455453789,2,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 13:02,1/1/2023 13:40,0 days 00:38:00,38.0,0.633333333
1530010,1392,183344701,71B,INBOUND-DOWNTOWN,13:52:00,2,ST CLAIR ST + BUNKER HILL APTS,3118,14:32:00,60,6.827786546,2,FIFTH AVE + WOOD ST,20856,1/1/2023 13:52,1/1/2023 14:32,0 days 00:40:00,40.0,0.666666667
872010,1393,183344701,71B,OUTBOUND-HIGHLAND PARK,14:32:00,2,FIFTH AVE + WOOD ST,20856,15:10:00,59,6.455453789,2,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 14:32,1/1/2023 15:10,0 days 00:38:00,38.0,0.633333333
533010,1676,183352801,71B,INBOUND-DOWNTOWN,9:39:00,2,ST CLAIR ST + BUNKER HILL APTS,3118,10:15:00,60,6.827786546,2,FIFTH AVE + WOOD ST,20856,1/1/2023 9:39,1/1/2023 10:15,0 days 00:36:00,36.0,0.6
11313010,1677,183352801,71B,OUTBOUND-HIGHLAND PARK,10:15:00,2,FIFTH AVE + WOOD ST,20856,10:51:00,59,6.455453789,2,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 10:15,1/1/2023 10:51,0 days 00:36:00,36.0,0.6
6129010,1678,183352801,71B,INBOUND-DOWNTOWN,11:05:00,2,ST CLAIR ST + BUNKER HILL APTS,3118,11:45:00,60,6.827786546,2,FIFTH AVE + WOOD ST,20856,1/1/2023 11:05,1/1/2023 11:45,0 days 00:40:00,40.0,0.666666667
