,trip_id,block_id,route_id,trip_headsign,trip_start_time,trip_end_time,start_stop_id,end_stop_id,start_stop_name,start_stop_lat,start_stop_lon,end_stop_name,end_stop_lat,end_stop_lon
3988,1797080,183441908.0,61A,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,15:25:00,16:32:00,20856,7357,FIFTH AVE + WOOD ST,40.440792,-80.000658,BRADDOCK HILLS SC + GIANT EAGLE,40.414495,-79.855219
3989,5079080,183442008.0,57,INBOUND-DOWNTOWN,20:34:00,21:07:00,15428,43,AMITY ST + TARGET DRIVE,40.409837,-79.912281,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
3990,11362080,183442008.0,57,OUTBOUND-WATERFRONT,21:07:00,21:44:00,43,15418,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
3991,6872080,183442008.0,57,INBOUND-DOWNTOWN,22:10:00,22:43:00,15428,43,AMITY ST + TARGET DRIVE,40.409837,-79.912281,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
3992,337080,183442008.0,57,OUTBOUND-WATERFRONT,22:43:00,23:15:00,43,15418,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
3993,10569080,183442008.0,57,INBOUND-DOWNTOWN,23:46:00,24:19:00,15428,43,AMITY ST + TARGET DRIVE,40.409837,-79.912281,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
3994,541080,183442008.0,57,OUTBOUND-WATERFRONT,24:19:00,24:51:00,43,15418,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
3995,8537080,183442108.0,51,INBOUND-CARRICK-SOUTH SIDE TO DOWNTOWN,11:22:00,12:25:00,21187,4833,LEBANON RD + NOBLE DR FS,40.361767,-79.932442,SIXTH AVE + SMITHFIELD,40.441593,-79.99826
3996,29080,183442108.0,51,OUTBOUND-WEST MIFFLIN,12:25:00,13:20:00,4833,9618,SIXTH AVE + SMITHFIELD,40.441593,-79.99826,LEBANON RD + NOBLE DR,40.361889,-79.932259
3997,8852080,183442208.0,57,INBOUND-DOWNTOWN,16:29:00,17:07:00,15428,43,AMITY ST + TARGET DRIVE,40.409837,-79.912281,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
3998,12148080,183442208.0,57,OUTBOUND-WATERFRONT,17:07:00,17:44:00,43,15418,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
3999,2742080,183442208.0,57,INBOUND-DOWNTOWN,18:10:00,18:43:00,15428,43,AMITY ST + TARGET DRIVE,40.409837,-79.912281,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
4000,4201080,183442208.0,57,OUTBOUND-WATERFRONT,18:43:00,19:20:00,43,15418,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
4001,13651080,183442208.0,57,INBOUND-DOWNTOWN,19:46:00,20:19:00,15428,43,AMITY ST + TARGET DRIVE,40.409837,-79.912281,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
4002,11419080,183442208.0,57,OUTBOUND-WATERFRONT,20:19:00,20:56:00,43,15418,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
4003,6849080,183442308.0,57,INBOUND-DOWNTOWN,21:22:00,21:55:00,15428,43,AMITY ST + TARGET DRIVE,40.409837,-79.912281,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
4004,9225080,183442308.0,57,OUTBOUND-WATERFRONT,21:55:00,22:32:00,43,15418,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
4005,945080,183442308.0,57,INBOUND-DOWNTOWN,22:58:00,23:31:00,15428,43,AMITY ST + TARGET DRIVE,40.409837,-79.912281,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
4006,13488080,183442308.0,57,OUTBOUND-WATERFRONT,23:31:00,24:03:00,43,15418,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
